source,hub_or_query,page_url,title,filename,status,note
opengameart,https://opengameart.org/content/metroidvania-art,https://opengameart.org/content/faq,faq,,failed,No direct file link found — check page manually
opengameart,https://opengameart.org/content/metroidvania-art,https://opengameart.org/content/mountain-at-dusk-background,mountain-at-dusk-background,mountain_at_dusk_background.zip,skipped-exists,already downloaded
opengameart,https://opengameart.org/content/metroidvania-art,https://opengameart.org/content/plattoon,plattoon,plattoon.png,skipped-exists,already downloaded
opengameart,https://opengameart.org/content/metroidvania-art,https://opengameart.org/content/monkey-lad-in-magical-planet,monkey-lad-in-magical-planet,monkey_lad_in_magical_planet.png,skipped-exists,already downloaded
opengameart,https://opengameart.org/content/metroidvania-art,https://opengameart.org/content/dirt-platformer-tiles,dirt-platformer-tiles,dirt_platformer_tiles.png,skipped-exists,already downloaded
opengameart,https://opengameart.org/content/metroidvania-art,https://opengameart.org/content/minimalist-pixel-tileset,minimalist-pixel-tileset,minimalist_pixel_tileset.png,skipped-exists,already downloaded
opengameart,https://opengameart.org/content/metroidvania-art,https://opengameart.org/content/mangrove,mangrove,mangrove.png,skipped-exists,already downloaded
opengameart,https://opengameart.org/content/metroidvania-art,https://opengameart.org/content/demon-flower-monster-sprite-sheet,demon-flower-monster-sprite-sheet,demon_flower_monster_sprite_sheet.zip,skipped-exists,already downloaded
opengameart,https://opengameart.org/content/enemies-and-characters-pixel-art,https://opengameart.org/content/faq,faq,,failed,No direct file link found — check page manually
opengameart,https://opengameart.org/content/enemies-and-characters-pixel-art,https://opengameart.org/content/bat-sprite,bat-sprite,bat_sprite.png,skipped-exists,already downloaded
opengameart,https://opengameart.org/content/enemies-and-characters-pixel-art,https://opengameart.org/content/goblin-sprite,goblin-sprite,goblin_sprite.zip,skipped-exists,already downloaded
opengameart,https://opengameart.org/content/enemies-and-characters-pixel-art,https://opengameart.org/content/wyrmwolf,wyrmwolf,wyrmwolf.png,skipped-exists,already downloaded
opengameart,https://opengameart.org/content/enemies-and-characters-pixel-art,https://opengameart.org/content/biomech-dragon-splice,biomech-dragon-splice,biomech_dragon_splice.png,skipped-exists,already downloaded
